运单号,目的分拨编码,目的分拨,网点编码,目的网点,省份编码,省份,城市编码,城市,区县编码,区县,派件业务员,是否三方签收,三方签收设备,设备类型,签收时间,rmk_inf,地址
4602330516786,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,3026,否,,,2020-03-16 16:40:04,,贵州省 六盘水市 盘县
4602496098500,550088.0,贵州贵阳分拨中心,561601,贵州盘县公司老城分部,520000,贵州省,520200,六盘水市,520222,盘县,2000,否,,,2020-03-31 16:33:37,,贵州省 六盘水市 盘县
4304873202668,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,5888,是,tonglu_xiaozhan,驿站,2020-04-20 17:18:49,兔喜快递韵达快递超市(城市公馆大门口又侧辉记水果店二楼),贵州省 六盘水市 盘县
4304242007548,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7566,否,,,2020-03-23 18:41:12,,贵州省 六盘水市 盘县
4304443780340,550088.0,贵州贵阳分拨中心,781438,贵州盘县公司柏果镇便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,7388,否,,,2020-04-02 19:44:22,,贵州省 六盘水市 盘县
4602840388177,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,7529,否,,,2020-05-04 15:22:27,,贵州省 六盘水市 盘县
4602292278411,550088.0,贵州贵阳分拨中心,561600,贵州盘县公司,520000,贵州省,520200,六盘水市,520222,盘县,1028,否,,,2020-03-13 22:14:17,,贵州省 六盘水市 盘县
3103583093527,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1001,是,tonglu_xiaozhan,驿站,2020-05-22 13:57:08,大樱桃树小区韵达快递韵达快递超市(两河新区大樱桃树小区68号),贵州省 六盘水市 盘县
4305084565571,550088.0,贵州贵阳分拨中心,782489,贵州盘县公司两河便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,1014,否,,,2020-04-29 12:03:58,,贵州省 六盘水市 盘县
4304184046581,550088.0,贵州贵阳分拨中心,782272,贵州盘县公司响水便民寄存点,520000,贵州省,520200,六盘水市,520222,盘县,4021,否,,,2020-03-19 21:39:55,,贵州省 六盘水市 盘县
